,Jets,Sharks,20s,30s,40s,JH,HS,COL,Single,Married,Divorced,Bookie ,Burglar,Pusher
Jets,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Sharks,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20s,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0
30s,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0
40s,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
JH,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0
HS,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0
COL,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0
Single,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0
Married,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
Divorced,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
Bookie ,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
Burglar,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1
Pusher,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
